Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
ABY,Scrypt,PoW,792537250.0,1000000000.0,-0.1480012220912101,-1.1022351014231477,-0.011426631159898564,1,
FLDC,Stanford Folding,PoW,719416990.0,1000000000.0,-0.14785394359867055,-2.155722208765173,0.3643950336324314,1,
U,X11,PoS,2689812.0,20000000.0,-0.35819444432835973,1.0412386091351007,-0.16890178656142524,0,
UIS,Multiple,PoW,65113302.0,0.0,-0.12717890200420187,-1.8479524340692177,0.2844834137107413,1,
CYP,QuBit,PoW,6365285.0,0.0,-0.20144137750389496,-1.567648463614166,0.18688557585304844,1,
OMC,Scrypt,PoW,10140044.44,3371337.0,-0.1646442570667763,-1.1020661420146847,-0.01099102972045628,1,
VTR,Scrypt,PoW/PoS,11604722.0,20000000.0,-0.3220316428321264,1.059769060200617,-0.48052533169867606,0,
GRE,Scrypt,PoW,4610340641.0,10000000000.0,-0.03742192751950521,-1.104983738334545,-0.013889511939729348,1,
XCN,M7 POW,PoW,708506520.0,1840000000.0,-0.14449647714106845,-2.2302500771582996,0.364291345011042,1,
MSC,Scrypt,PoW,619478.0,619478.0,-0.1647802194254555,-1.102068446936175,-0.010986493591740216,1,
SOON,SHA-256,PoW,12462620.0,21000000.0,-0.14184824247326705,-1.3702788752674893,0.1605324113739071,1,
1CR,Scrypt,PoW,88213.0,92000000000.0,0.4883217227522079,-1.1448606736255262,-0.018487727641018633,1,
ISL,X11,PoW/PoS,1513704.0,0.0,-0.3855710565414658,1.2693914069991268,-0.39278151992768867,0,
NXS,SHA3,PoW/nPoS,63657220.0,78000000.0,-0.29982772527155793,2.447420828268316,-0.25475956806413796,0,
MARS,X11,PoW,32221574.82,33000000.0,-0.22743791700533952,-0.89245476483419,0.07673416486371115,1,
CTO,Lyra2RE,PoW,13742738.0,65789100.0,-0.15615381141450282,-2.255510463927234,0.3466349978829675,1,
ACP,SHA-256,PoW,14747200.0,53760000.0,-0.14158773943975536,-1.3702932528096254,0.16052870552062246,1,
DRZ,QUAIT,PoW/PoS,8568038.359,5060000.0,-0.381598951759333,1.9075692590393702,-0.5736553132135607,0,
BSC,X11,PoW,15863837.5,21000000.0,-0.22772314399349464,-0.892455342622198,0.07674255154039056,1,
SQL,X11,PoS/PoW,329200.0164,0.0,-0.34091571527707326,1.0562689179649378,-0.11791953928227289,0,
